raceId,driverId,lap,position,time,milliseconds
1052,830,1,1,01:58.2,118245
1052,830,2,1,02:22.4,142406
1052,830,3,1,02:38.0,158001
1052,830,4,1,01:44.3,104343
1052,830,5,1,01:44.6,104629
1052,830,6,1,01:36.0,95982
1052,830,7,1,01:35.9,95902
1052,830,8,1,01:36.0,96032
1052,830,9,1,01:36.0,96012
1052,830,10,1,01:36.2,96175
1052,830,11,1,01:36.2,96179
1052,830,12,1,01:36.6,96592
1052,830,13,1,01:36.3,96291
1052,830,14,1,01:36.9,96880
1052,830,15,1,01:36.9,96924
1052,830,16,1,01:37.0,97033
1052,830,17,1,01:39.2,99153
1052,830,18,2,01:55.5,115532
1052,830,19,2,01:34.4,94421
1052,830,20,2,01:34.9,94870
1052,830,21,2,01:34.8,94829
1052,830,22,2,01:35.2,95159
1052,830,23,2,01:35.1,95122
1052,830,24,2,01:35.2,95207
1052,830,25,2,01:35.0,95044
1052,830,26,2,01:35.0,94958
1052,830,27,2,01:35.1,95118
1052,830,28,1,01:35.1,95126
1052,830,29,1,01:35.3,95282
1052,830,30,1,01:35.5,95476
1052,830,31,1,01:35.1,95054
1052,830,32,1,01:35.4,95378
1052,830,33,1,01:35.3,95286
1052,830,34,1,01:35.6,95638
1052,830,35,1,01:35.6,95593
1052,830,36,1,01:35.7,95721
1052,830,37,1,01:35.6,95620
1052,830,38,1,01:35.9,95921
1052,830,39,1,01:37.8,97828
1052,830,40,2,01:53.4,113437
1052,830,41,2,01:33.2,93228
1052,830,42,2,01:33.5,93450
1052,830,43,2,01:33.2,93231
1052,830,44,2,01:33.6,93594
1052,830,45,2,01:34.1,94056
1052,830,46,2,01:33.9,93894
1052,830,47,2,01:34.1,94092
1052,830,48,2,01:33.8,93818
1052,830,49,2,01:33.6,93576
1052,830,50,2,01:33.9,93893
1052,830,51,2,01:34.0,93964
1052,830,52,2,01:34.7,94669
1052,830,53,2,01:36.4,96413
1052,830,54,2,01:35.1,95073
1052,830,55,2,01:34.6,94565
1052,830,56,2,01:34.7,94727
1052,1,1,2,01:59.5,119538
1052,1,2,2,02:22.7,142712
1052,1,3,2,02:36.7,156656
1052,1,4,2,01:44.9,104932
1052,1,5,2,01:45.1,105139
1052,1,6,2,01:36.2,96169
1052,1,7,2,01:36.1,96123
1052,1,8,2,01:36.1,96075
1052,1,9,2,01:36.1,96148
1052,1,10,2,01:36.1,96082
1052,1,11,2,01:36.1,96143
1052,1,12,2,01:36.5,96507
1052,1,13,2,01:38.9,98924
1052,1,14,4,01:55.0,115006
1052,1,15,3,01:34.1,94057
1052,1,16,3,01:35.1,95104
1052,1,17,2,01:35.1,95099
1052,1,18,1,01:35.3,95266
1052,1,19,1,01:35.3,95346
1052,1,20,1,01:35.3,95324
1052,1,21,1,01:35.8,95837
1052,1,22,1,01:35.5,95539
1052,1,23,1,01:35.2,95219
1052,1,24,1,01:35.1,95087
1052,1,25,1,01:35.4,95359
1052,1,26,1,01:35.6,95622
1052,1,27,1,01:35.9,95940
1052,1,28,2,01:37.8,97835
1052,1,29,3,01:55.2,115194
1052,1,30,3,01:34.4,94365
1052,1,31,2,01:35.3,95305
1052,1,32,2,01:34.7,94729
1052,1,33,2,01:35.0,95041
1052,1,34,2,01:34.7,94665
1052,1,35,2,01:34.7,94745
1052,1,36,2,01:34.8,94754
1052,1,37,2,01:34.7,94740
1052,1,38,2,01:34.7,94720
1052,1,39,2,01:34.8,94816
1052,1,40,1,01:34.9,94890
1052,1,41,1,01:34.3,94334
1052,1,42,1,01:34.2,94199
1052,1,43,1,01:34.2,94163
1052,1,44,1,01:34.0,94015
1052,1,45,1,01:34.6,94583
1052,1,46,1,01:34.5,94492
1052,1,47,1,01:34.6,94591
1052,1,48,1,01:34.2,94167
1052,1,49,1,01:34.1,94136
1052,1,50,1,01:34.4,94354
1052,1,51,1,01:34.6,94579
1052,1,52,1,01:34.9,94939
1052,1,53,1,01:36.2,96155
1052,1,54,1,01:34.8,94814
1052,1,55,1,01:34.7,94706
1052,1,56,1,01:34.9,94918
1052,844,1,3,02:02.7,122698
1052,844,2,3,02:21.2,141183
